source,metric,value
imagen3,accuracy,0.6787383177570093
imagen3,auc,0.8376495763822168
imagen3,ap,0.8227647603291446
imagen3,f1,0.7515808491418248
SD3-medium,accuracy,0.6927570093457944
SD3-medium,auc,0.9108000698750982
SD3-medium,ap,0.9036817285621952
SD3-medium,f1,0.7649687220732797
FLUX.1-dev,accuracy,0.6834112149532711
FLUX.1-dev,auc,0.8864092933880688
FLUX.1-dev,ap,0.878185904929168
FLUX.1-dev,f1,0.7560756075607561
FLUX.1-schnell,accuracy,0.6880841121495327
FLUX.1-schnell,auc,0.9219200366844267
FLUX.1-schnell,ap,0.9203067822916227
FLUX.1-schnell,f1,0.7605381165919283
